Designation,Web Height (m),Flange Width (m),Web THK (m),Flange THK (m),Cross Sectional Area (m^2),Nominal Weight per m (kg/m),Second Moment of Area Iyy (m^4),First Moment of Area Qyy (m^3),Radius of Gyration ryy (m),Second Moment of Area Izz (m^4),First Moment of Area Qzz (m^3),Radius of Gyration rzz (m),Plastic Modulus Zyy (m^3),Plastic Modulus Zzz (m^3),Torsional Constant J (m^4)
4.500 x 0.237,0.1143,0.1143,0.0056134,0.0056134,0.001916125,16.07219022,2.8387E-06,4.96526E-05,0.038354,2.8387E-06,4.96526E-05,0.038354,6.63674E-05,6.63674E-05,5.66075E-06
4.000 x 0.313,0.1016,0.1016,0.0073914,0.0073914,0.002187092,18.36396549,2.44328E-06,4.80139E-05,0.033528,2.44328E-06,4.80139E-05,0.033528,6.57119E-05,6.57119E-05,4.86991E-06
5.000 x 0.125,0.127,0.127,0.0029464,0.0029464,0.001148385,9.687959104,2.21019E-06,3.47404E-05,0.043942,2.21019E-06,3.47404E-05,0.043942,4.5392E-05,4.5392E-05,4.41205E-06
4.000 x 0.237,0.1016,0.1016,0.0056134,0.0056134,0.001690319,14.1822197,1.95629E-06,3.85095E-05,0.034036,1.95629E-06,3.85095E-05,0.034036,5.17829E-05,5.17829E-05,3.91258E-06
4.000 x 0.220,0.1016,0.1016,0.005207,0.005207,0.00157419,13.22979362,1.83558E-06,3.62153E-05,0.034036,1.83558E-06,3.62153E-05,0.034036,4.85055E-05,4.85055E-05,3.67532E-06
4.500 x 0.125,0.1143,0.1143,0.0029464,0.0029464,0.001032256,8.705769702,1.59833E-06,2.80218E-05,0.03937,1.59833E-06,2.80218E-05,0.03937,3.6543E-05,3.6543E-05,3.19666E-06
3.500 x 0.300,0.0889,0.0889,0.007112,0.007112,0.001825803,15.26858071,1.54006E-06,3.45766E-05,0.028956,1.54006E-06,3.45766E-05,0.028956,4.76862E-05,4.76862E-05,3.08011E-06
3.500 x 0.216,0.0889,0.0889,0.0051054,0.0051054,0.001341933,11.28029647,1.1821E-06,2.67108E-05,0.029718,1.1821E-06,2.67108E-05,0.029718,3.58875E-05,3.58875E-05,2.36836E-06
4.000 x 0.125,0.1016,0.1016,0.0029464,0.0029464,0.000916127,7.708698642,1.11134E-06,2.19586E-05,0.034798,1.11134E-06,2.19586E-05,0.034798,2.86773E-05,2.86773E-05,2.22268E-06
3.500 x 0.188,0.0889,0.0889,0.0044196,0.0044196,0.001174191,9.911183968,1.0489E-06,2.35973E-05,0.029972,1.0489E-06,2.35973E-05,0.029972,3.16269E-05,3.16269E-05,2.09781E-06
3.000 x 0.300,0.0762,0.0762,0.007112,0.007112,0.001541932,12.88751549,9.32358E-07,2.44166E-05,0.0245618,9.32358E-07,2.44166E-05,0.0245618,3.4085E-05,3.4085E-05,1.86055E-06
3.000 x 0.216,0.0762,0.0762,0.0051054,0.0051054,0.001141933,9.568905843,7.24243E-07,1.90089E-05,0.0251968,7.24243E-07,1.90089E-05,0.0251968,2.58915E-05,2.58915E-05,1.44849E-06
2.875 x 0.250,0.073025,0.073025,0.0059182,0.0059182,0.001245159,10.44692364,7.07593E-07,1.93367E-05,0.0238252,7.07593E-07,1.93367E-05,0.0238252,2.67108E-05,2.67108E-05,1.41519E-06
3.000 x 0.188,0.0762,0.0762,0.0044196,0.0044196,0.000993546,8.40813655,6.45159E-07,1.68786E-05,0.0254,6.45159E-07,1.68786E-05,0.0254,2.27779E-05,2.27779E-05,1.29032E-06
2.875 x 0.188,0.073025,0.073025,0.0044196,0.0044196,0.000954837,8.036095109,5.61912E-07,1.54202E-05,0.0243078,5.61912E-07,1.54202E-05,0.0243078,2.08115E-05,2.08115E-05,1.12382E-06
3.000 x 0.134,0.0762,0.0762,0.003175,0.003175,0.000729031,6.116361278,4.86991E-07,1.27655E-05,0.025908,4.86991E-07,1.27655E-05,0.025908,1.68786E-05,1.68786E-05,9.73982E-07
2.500 x 0.250,0.0635,0.0635,0.0059182,0.0059182,0.001070966,8.943876224,4.4953E-07,1.41256E-05,0.0204724,4.4953E-07,1.41256E-05,0.0204724,1.96644E-05,1.96644E-05,8.94898E-07
2.375 x 0.218,0.060325,0.060325,0.0051816,0.0051816,0.000896772,7.485473778,3.44223E-07,1.14054E-05,0.0195834,3.44223E-07,1.14054E-05,0.0195834,1.57971E-05,1.57971E-05,6.86782E-07
2.375 x 0.154,0.060325,0.060325,0.0036322,0.0036322,0.00064516,5.446686685,2.60977E-07,8.65234E-06,0.0200914,2.60977E-07,8.65234E-06,0.0200914,1.16839E-05,1.16839E-05,5.20289E-07
2.500 x 0.125,0.0635,0.0635,0.0029464,0.0029464,0.000561289,4.717485462,2.57647E-07,8.11157E-06,0.0214376,2.57647E-07,8.11157E-06,0.0214376,1.08154E-05,1.08154E-05,5.16127E-07
1.900 x 0.145,0.04826,0.04826,0.003429,0.003429,0.00048387,4.04781087,1.21956E-07,5.06358E-06,0.0159004,1.21956E-07,5.06358E-06,0.0159004,6.89893E-06,6.89893E-06,2.43912E-07
1.660 x 0.140,0.042164,0.042164,0.003302,0.003302,0.000399999,3.378136277,7.65866E-08,3.63791E-06,0.0137922,7.65866E-08,3.63791E-06,0.0137922,4.99804E-06,4.99804E-06,1.53173E-07
