8,16,11.14711598,12.81294228,4,10,21,32,26,54,76,39,34,11,17,13,4,51,26,43,14,40,36,18,25,29
8,17,13.18964321,13.43428059,8,16,22,32,29,60,72,42,34,18,23,8,6,50,27,42,17,44,50,25,23,29
8,17,13.18964321,13.43428059,8,16,22,32,29,60,72,42,34,18,23,8,6,50,27,42,17,44,50,25,23,29
8,19,11.24839435,10.27060245,61,20,39,52,56,39,64,46,39,51,4,1,32,32,14,22,58,58,15,3,9,23
8,20,13.66311817,29.12716948,16,9,78,36,15,69,13,38,8,45,8,58,38,20,43,42,50,13,37,14,24,8
8,20,13.66994333,29.1235775,16,9,77,36,15,69,13,38,8,45,8,58,38,20,43,42,50,13,37,14,24,8
8,13,25.09892485,30.66759874,63,35,14,14,25,27,54,43,67,7,26,4,31,30,32,72,57,3,42,1,14,9
8,14,12.54151782,10,32,29,61,18,23,28,25,34,39,50,43,37,46,17,40,43,30,47,28,18,16,40
8,15,13.61531382,10.68914978,32,31,61,21,26,30,27,36,37,53,43,37,53,20,35,43,31,47,30,18,20,44
8,15,12.85860139,11.24598632,36,27,60,21,22,29,24,29,38,50,44,36,45,15,37,40,28,47,29,18,19,39
8,18,26.58726438,17.93705227,57,47,69,42,63,20,42,51,11,17,33,3,78,41,35,45,39,28,72,1,37,24
8,19,21.09151337,19.18792679,43,16,63,60,69,8,5,58,34,54,0,48,26,53,4,54,53,31,37,35,23,34
8,20,28.06485766,33.48704052,29,23,39,51,13,29,35,29,30,21,8,5,4,44,3,40,38,73,1,1,40,16
8,16,18.99200703,15.3117857,49,49,8,3,58,51,66,1,63,50,27,22,21,39,51,8,37,16,65,25,22,21
8,19,10.44670718,21.82808943,20,55,30,26,60,44,42,52,66,15,8,8,51,38,57,17,37,50,38,28,23,26
8,20,10,21.0856054,18,54,28,28,60,45,42,57,69,11,2,5,51,38,57,15,37,47,37,32,21,23
8,14,10,18.49622723,40,46,29,33,34,36,78,60,46,16,3,17,26,53,23,65,40,32,61,37,0,6
8,18,10,18.48496546,18,31,62,72,40,28,78,46,21,1,61,54,73,23,11,42,28,38,57,8,44,40
8,20,10,12.8021453,21,50,35,30,28,23,15,42,32,22,51,58,58,9,4,1,23,35,29,6,28,0
8,20,10,10,10,54,34,25,23,16,4,44,29,13,54,69,68,0,0,0,17,33,25,0,21,0
8,13,10.20559079,15.05134464,56,34,39,6,21,26,25,73,57,41,3,45,24,0,0,55,12,51,16,32,15,22
8,14,10,25.74692442,78,14,20,11,32,1,58,64,46,48,21,46,34,27,16,41,13,35,17,18,16,39
8,14,10.47774795,19.71784353,58,30,25,15,25,23,20,66,56,43,1,39,23,1,5,62,13,50,7,35,13,22
8,15,10,28.00789855,78,15,24,12,27,0,58,64,46,44,28,48,39,26,20,37,23,36,16,18,12,38
8,15,11.75217399,26.53472484,62,21,33,0,33,0,59,62,43,54,47,30,27,29,12,40,26,30,20,23,10,49
8,15,11.05449633,21.93308051,63,22,25,18,18,21,21,68,63,37,0,41,24,0,0,59,10,44,15,31,13,24
8,16,10,26.84162065,78,9,32,9,28,0,64,66,48,39,27,47,42,21,19,41,24,35,18,23,12,36
8,16,26.89068457,38.45364538,27,16,36,20,9,22,64,3,60,26,44,6,62,11,1,66,38,50,1,24,16,20
8,16,10.93194453,18.19479136,58,28,28,14,20,17,29,64,55,37,0,43,20,0,0,54,6,54,17,38,16,23
8,17,10,31.56917678,74,6,10,15,36,0,70,61,51,52,16,46,26,30,23,43,18,41,11,21,22,40
8,17,26.73141392,37.50357858,26,14,35,22,9,21,61,3,63,25,44,7,62,11,0,61,38,53,3,24,16,22
8,17,10.24410954,17.99885533,57,32,29,18,25,16,19,55,76,33,9,42,11,0,0,55,6,51,12,33,15,22
8,19,10,28.79295258,69,17,28,4,51,0,78,61,58,71,18,48,18,30,28,43,5,47,2,13,25,63
8,19,12.41655785,21.5623546,37,0,48,39,70,58,34,6,21,24,27,17,0,47,9,56,15,30,26,51,40,11
8,16,10,10,75,58,23,1,44,23,52,54,33,3,44,9,3,21,0,0,37,19,46,56,0,1
8,12,15.11171906,11.34108961,61,15,48,5,7,40,24,17,11,1,28,34,25,11,4,50,40,4,40,35,25,38
8,19,20.06197496,16.98468588,16,69,45,64,57,32,47,57,48,8,1,11,60,3,28,41,16,12,33,3,10,62
8,19,25.08693941,35.80408532,23,44,61,40,19,7,0,66,7,48,11,35,50,17,45,7,41,19,34,20,34,64
8,20,20.08518945,15.67105821,15,65,43,60,52,29,51,54,51,10,2,10,59,7,28,39,19,9,32,5,11,61
8,17,10.92712332,23.53056665,57,23,78,28,71,38,9,0,48,0,41,69,33,58,45,11,41,41,26,56,32,0
8,19,13.58412671,26.47490812,0,9,60,1,18,43,78,34,1,2,2,70,5,0,58,28,36,58,44,0,20,16
8,19,21.96970735,27.81679094,22,9,50,45,10,71,17,63,12,45,4,16,47,44,2,22,18,58,1,0,58,63
8,20,11.12248329,26.93582319,0,22,44,6,11,40,78,35,0,0,0,70,4,19,48,36,41,66,49,0,27,12
8,8,21.18810644,22.95279763,24,5,67,35,19,48,30,31,1,21,20,47,8,39,42,41,0,12,35,0,25,2
8,9,21.30884165,22.75711568,26,7,69,31,17,50,26,35,4,28,15,46,8,37,42,44,0,15,36,0,25,6
8,10,21.67483668,23.51597123,25,9,68,31,18,49,29,35,8,30,12,45,1,40,42,42,1,18,34,0,24,6
8,14,10.29290877,28.59276555,5,31,66,78,11,55,24,56,24,72,50,23,67,7,40,11,33,54,21,16,24,2
8,16,11.13750862,26.46534265,12,33,69,77,13,53,31,67,29,69,54,25,64,10,44,14,27,57,19,21,22,4
8,17,11.23890744,16.3601487,54,10,37,13,71,36,66,18,10,2,0,16,68,41,8,66,34,19,43,3,25,51
8,17,18.17234577,22.4200209,67,33,0,17,3,71,0,54,53,60,16,51,7,30,12,60,7,30,28,7,37,59
8,18,23.13308445,31.40266707,42,68,22,1,27,34,54,13,37,44,26,60,3,30,18,37,50,58,51,21,21,61
8,20,21.5891862,32.63339106,37,63,19,1,28,36,55,11,42,41,35,61,6,28,19,34,51,50,41,25,19,64
8,20,25.14391319,11.40107171,51,55,13,41,7,54,68,2,74,41,9,58,13,49,29,45,47,2,64,27,50,69
8,12,10.04697926,26.41865582,71,19,18,16,29,11,49,55,38,46,20,45,28,27,10,42,10,33,28,9,8,42
8,12,10.04700035,26.41866068,71,19,18,16,29,8,49,55,38,46,20,45,28,27,10,42,10,33,28,9,8,42
8,12,10.04700618,26.41866495,71,19,18,16,29,9,49,55,38,46,20,45,28,27,10,42,10,33,28,9,8,42
8,13,10.25398283,25.69592377,66,18,20,16,29,9,47,56,38,46,22,48,32,26,7,41,13,32,30,5,11,47
8,14,10,25.74692429,78,14,20,11,32,3,58,64,46,48,21,46,34,27,16,41,13,35,17,18,16,39
8,14,10,25.74692442,78,14,20,11,32,3,58,64,46,48,21,46,34,27,16,41,13,35,17,18,16,39
8,14,12.54151782,10,32,29,61,18,23,28,25,34,39,50,43,37,46,17,40,43,30,47,28,18,16,40
8,15,10,28.00789855,78,15,24,12,27,3,58,64,46,44,28,48,39,26,20,37,23,36,16,18,12,38
8,15,10.19580884,27.79540744,78,15,24,10,28,3,58,64,46,47,29,49,38,26,20,37,24,36,16,21,13,39
8,15,10.2767823,27.86903102,78,15,25,11,27,3,60,64,47,46,29,48,37,28,20,37,23,36,15,22,13,39
8,18,10,18.48496546,18,31,62,72,40,28,78,46,21,1,61,54,73,23,11,42,28,38,57,8,44,40
8,19,11.14129129,17.00141076,61,28,42,31,22,33,16,41,61,36,18,41,12,11,19,55,12,47,2,39,7,14
8,20,10.93632814,16.02987405,59,29,42,32,23,27,17,42,60,35,18,37,13,18,11,57,12,43,2,39,12,15
8,20,11.20834581,16.41431461,60,28,42,29,21,28,16,43,62,35,16,37,11,17,10,57,13,43,3,39,11,16
8,20,11.27809439,15.98853066,61,29,42,31,21,29,14,42,60,37,17,38,13,17,13,57,13,44,4,41,9,15
8,20,11.40982387,16.31789829,60,29,43,30,22,28,16,42,60,36,17,37,12,16,11,56,14,44,2,40,10,14
8,20,11.4098254,16.31793529,60,29,43,30,22,29,16,42,60,36,17,37,12,16,11,56,14,44,2,40,10,14
8,20,11.40982579,16.31795144,60,29,43,30,22,30,16,42,60,36,17,37,12,16,11,56,14,44,2,40,10,14
8,20,11.41642947,16.32063699,60,29,43,30,22,28,16,42,60,36,17,37,12,16,11,56,14,44,2,40,10,14
